Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Copper hydroxide,8.86,10.94,--,10.13,12.12,--,8.7,10.99,--,1.77,2.25,--
Difenoconazole + propiconazole,--,--,--,--,--,--,10.43,13.19,--,7.96,10.11,--
Thiophanate methyl,--,--,--,--,--,--,3.48,4.4,--,4.42,5.62,--
Edifenphos,1.27,1.56,--,1.27,--,7.69,1.74,2.2,--,--,--,--
Benomyl,1.27,1.56,--,1.27,1.52,--,0.87,1.1,--,--,--,--
Aurora,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 55),(n = 53),(n = 2),(n = 46),(n = 45),(n = 1),(n = 59),(n = 55),(n = 4),(n = 55),(n = 53),(n = 2)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Bispyribac sodium,--,--,--,--,--,--,59.32,58.18,75,78.18,77.36,100
Butachlor,--,--,--,--,--,--,1.69,1.82,--,40,39.62,50
Pretilachlor,--,--,--,--,--,--,25.42,27.27,--,14.55,13.21,50
Butachlor + safener,--,--,--,--,--,--,22.03,20,50,12.73,13.21,--
MCPA,--,--,--,--,--,--,5.08,3.64,25,10.91,9.43,50
